,팀ID,팀약어,팀창설해,연고지,홈구장
0,1610612737,ATL,1949,Atlanta,State Farm Arena
1,1610612738,BOS,1946,Boston,TD Garden
2,1610612740,NOP,2002,New Orleans,Smoothie King Center
3,1610612741,CHI,1966,Chicago,United Center
4,1610612742,DAL,1980,Dallas,American Airlines Center
5,1610612743,DEN,1976,Denver,Pepsi Center
6,1610612745,HOU,1967,Houston,Toyota Center
7,1610612746,LAC,1970,Los Angeles,Staples Center
8,1610612747,LAL,1948,Los Angeles,Staples Center
9,1610612748,MIA,1988,Miami,AmericanAirlines Arena
10,1610612749,MIL,1968,Milwaukee,Fiserv Forum
11,1610612750,MIN,1989,Minnesota,Target Center
12,1610612751,BKN,1976,Brooklyn,Barclays Center
13,1610612752,NYK,1946,New York,Madison Square Garden
14,1610612753,ORL,1989,Orlando,Amway Center
15,1610612754,IND,1976,Indiana,Bankers Life Fieldhouse
16,1610612755,PHI,1949,Philadelphia,Wells Fargo Center
17,1610612756,PHX,1968,Phoenix,Talking Stick Resort Arena
18,1610612757,POR,1970,Portland,Moda Center
19,1610612758,SAC,1948,Sacramento,Golden 1 Center
20,1610612759,SAS,1976,San Antonio,AT&T Center
21,1610612760,OKC,1967,Oklahoma City,Chesapeake Energy Arena
22,1610612761,TOR,1995,Toronto,Scotiabank Arena
23,1610612762,UTA,1974,Utah,Vivint Smart Home Arena
24,1610612763,MEM,1995,Memphis,FedExForum
25,1610612764,WAS,1961,Washington,Capital One Arena
26,1610612765,DET,1948,Detroit,Little Caesars Arena
27,1610612766,CHA,1988,Charlotte,Spectrum Center
28,1610612739,CLE,1970,Cleveland,Quicken Loans Arena
29,1610612744,GSW,1946,Golden State,Chase Center
